Property Type,Location,Bedrooms,Bathrooms,Size (sqft),Floor Number,Floor Level,Selling price (BDT),Balcony,Parking,Lift,CCTV,Generator,Source
Duplex,"Mirabazar, Sylhet",5,5,2539,1,Ground + 1st Floor,"20,000,000",2,0,0,1,0,self
Apartment,"Shahjalal Uposhahar, Sylhet ",3,3,1500,3,3rd Floor,"5,500,000",3,1,1,1,0,self
Apartment,"Nayasarak, Sylhet",3,2,1204,12,12th Floor,"6,000,000",4,1,1,1,0,self
House,"Bagbari, Sylhet",5,4,3077,0,Whole house,"15,000,000",4,1,1,1,0,self
Duplex,"Kumarpara, Sylhet",5,4,2314,2,Ground + 2nd Floor,"17,000,000",1,1,1,1,0,Fb market place
Apartment,"Tilagor, Sylhet",3,3,1862,5,5th Floor,"10,000,000",2,0,1,1,0,self
Duplex,"Pathantula, Sylhet",2,2,4158,1,Ground + 1st Floor,"30,000,000",2,1,1,1,0,self
Duplex,"Chowhatta, Sylhet",3,3,2312,1,Ground + 1st Floor,"18,000,000",0,0,1,0,0,Fb market place
Duplex,"Bagbari, Sylhet",6,6,2258,1,Ground + 1st Floor,"17,000,000",1,1,0,0,0,self
Apartment,"Kumarpara, Sylhet",4,2,2464,11,11th Floor,"13,000,000",2,0,0,0,1,Fb market place
House,"Taltola, Sylhet",6,4,3854,0,Whole house,"19,000,000",4,1,0,1,0,self
Apartment,"Ambarkhana, Sylhet",3,3,2167,3,3rd Floor,"15,000,000",4,1,1,0,1,self
Apartment,"Shahjalal Uposhahar, Sylhet",4,4,1939,9,9th Floor,"14,000,000",1,0,1,0,1,self
House,"Akhalia, Sylhet",6,4,3879,0,Whole house,"20,000,000",4,0,1,0,1,self
Apartment,"Dargah Gate, Sylhet",5,4,1048,12,12th Floor,"5,000,000",3,0,1,0,0,self
Duplex,"Subidbazar, Sylhet",4,4,2762,2,Ground + 2nd Floor,"17,000,000",3,0,1,0,0,self
Duplex,"Nayasarak, Sylhet",5,3,3589,2,Ground + 2nd Floor,"22,000,000",4,1,0,0,0,self
Duplex,"Moulikergaon, Sylhet",5,4,3774,2,Ground + 2nd Floor,"28,000,000",1,1,1,0,1,self
Apartment,"Bagbari, Sylhet",4,3,2495,4,4th Floor,"12,000,000",1,1,1,0,1,self
Duplex,"Zindabazar, Sylhet",4,4,2435,1,Ground + 1st Floor,"20,000,000",3,1,0,1,0,self
Duplex,"Pathantula, Sylhet",3,3,2698,2,Ground + 2nd Floor,"14,900,000",3,0,1,0,0,self
Duplex,"Tilagor, Sylhet",3,3,3272,1,Ground + 1st Floor,"20,400,000",1,0,0,0,0,self
Duplex,"Shahjalal Uposhahar, Sylhet",3,3,2274,2,Ground + 2nd Floor,"14,700,000",3,0,1,0,0,self
Apartment,"Mendibagh, Sylhet",5,3,2018,8,8th Floor,"12,200,000",4,0,0,0,0,self
Duplex,"Zindabazar, Sylhet",3,2,2422,1,Ground + 1st Floor,"15,400,000",3,1,1,0,0,self
Apartment,"Mendibagh, Sylhet",5,3,2126,5,5th Floor,"14,500,000",3,1,0,0,0,self
House,"Pathantula, Sylhet",2,2,3147,0,Whole house,"21,200,000",3,0,0,1,0,self
Apartment,"Akhalia, Sylhet",2,2,1071,9,9th Floor,"5,500,000",4,0,0,0,0,self
House,"Kazirbazar, Sylhet",2,2,4203,0,Whole house,"19,600,000",4,1,0,1,0,self
Duplex,"Mendibagh, Sylhet",6,6,3535,2,Ground + 2nd Floor,"21,600,000",4,0,0,0,1,self
Duplex,"Ambarkhana, Sylhet",6,4,3141,1,Ground + 1st Floor,"23,000,000",1,0,0,1,1,self
Duplex,"Kumarpara, Sylhet",2,2,4376,1,Ground + 1st Floor,"32,800,000",1,0,0,1,0,self
Duplex,"Tilagor, Sylhet ",5,4,3287,1,Ground + 1st Floor,"27,800,000",1,0,1,1,0,self
House,"Bagbari, Sylhet",4,4,2117,0,Whole house,"14,700,000",2,1,1,0,0,self
House,"Tilagor, Sylhet ",2,2,4552,0,Whole house,"22,300,000",1,1,1,0,0,self
House,"Shahporan, Sylhet ",5,5,3076,0,Whole house,"14,900,000",2,1,1,0,1,self
House,"Zindabazar, Sylhet",5,5,2105,0,Whole house,"16,600,000",2,1,1,0,1,self
Apartment,"Shibgonj, Sylhet",4,4,1895,8,8th Floor,"7,700,000",4,1,1,1,1,self
Duplex,"Pathantula, Sylhet ",3,2,3740,2,Ground + 2nd Floor,"22,400,000",3,1,1,1,0,self
Apartment,"Kazirbazar, Sylhet",2,2,1418,7,7th Floor,"6,000,000",3,0,1,0,0,self
Apartment,"Bagbari, Sylhet",4,4,2255,6,6th Floor,"14,800,000",1,1,1,1,0,self
House,"Tilagor, Sylhet ",5,5,4069,0,Whole house,"27,400,000",0,0,1,1,0,self
Duplex,"Bagbari, Sylhet",3,2,4188,1,Ground + 1st Floor,"32,400,000",3,1,1,1,0,self
House,"Mendibagh, Sylhet",4,2,3463,0,Whole house,"18,900,000",3,1,0,0,0,self
Apartment,"Pathantula, Sylhet",3,2,2027,5,5th Floor,"11,800,000",4,1,0,0,0,self
Apartment,"Kumarpara, Sylhet",3,2,1553,5,5th Floor,"8,500,000",1,0,0,1,1,self
House,"Ambarkhana, Sylhet ",6,6,2906,0,Whole house,"19,600,000",4,1,1,0,0,self
Apartment,"Dargah Gate, Sylhet ",4,4,1718,12,12th Floor,"10,000,000",1,0,0,0,1,self
Duplex,"Akhalia, Sylhet ",5,3,2200,1,Ground + 1st Floor,"15,600,000",4,1,0,0,0,self
Apartment,"Chowhatta, Sylhet ",3,2,2378,12,12th Floor,"17,700,000",1,0,0,0,0,self
Duplex,"Dargah Gate, Sylhet ",2,2,2724,2,Ground + 2nd Floor,"20,000,000",3,0,0,0,1,self
Duplex,"Shahjalal Uposhahar, Sylhet",6,6,3268,1,Ground + 1st Floor,"29,900,000",4,1,1,1,0,self
Duplex,"Dargah Gate, Sylhet",3,2,4440,1,Ground + 1st Floor,"24,900,000",2,0,0,0,0,self
House,"Nayasarak, Sylhet ",5,5,2733,0,Whole house,"17,000,000",3,0,1,0,1,self
Apartment,"Moulikergaon, Sylhet",5,5,2457,6,6th Floor,"19,000,000",3,0,0,1,1,self
Duplex,"Shahjalal Uposhahar, Sylhet",2,2,3811,1,Ground + 1st Floor,"27,900,000",2,0,1,0,0,self
Apartment,"Shibgonj, Sylhet",5,4,2400,3,3rd Floor,"13,000,000",3,0,1,0,0,Fb market place
House,"Subidbazar, Sylhet",5,4,3612,0,Whole house,"18,700,000",1,1,0,1,0,self
House,"Mendibagh, Sylhet ",2,2,3357,0,Whole house,"20,000,000",2,0,0,0,0,self
House,"Shahporan, Sylhet",6,5,3124,0,Whole house,"18,700,000",2,0,0,1,0,self
House,"Tilagor, Sylhet ",2,2,2053,0,Whole house,"11,300,000",1,0,1,1,1,self
House,"Kumarpara, Sylhet",6,6,4857,0,Whole house,"28,100,000",3,0,0,0,0,self
Apartment,"Kumarpara, Sylhet",5,3,2489,8,8th Floor,"18,000,000",4,1,0,1,0,self
Apartment,"Pathantula, Sylhet ",4,2,2143,5,5th Floor,"11,400,000",2,1,0,0,0,self
Apartment,"Taltola, Sylhet ",3,2,2230,2,2nd Floor,"13,300,000",1,1,0,0,0,self
Apartment,"Shahporan, Sylhet ",4,2,1326,2,2nd Floor,"7,500,000",1,0,1,1,0,self
House,"Subidbazar, Sylhet ",5,3,4863,0,Whole house,"32,600,000",5,1,1,1,0,self
House,"Mirabazar, Sylhet ",4,4,2813,0,Whole house,"14,700,000",4,1,1,0,1,self
Apartment,"Subidbazar, Sylhet",5,4,1939,10,10th Floor,"9,500,000",2,0,0,0,0,self
House,"Mirabazar, Sylhet ",3,2,1965,0,Whole house,"11,200,000",3,0,0,0,0,self
House,"Shahjalal Uposhahar, Sylhet",6,6,4270,0,Whole house,"27,300,000",4,0,0,0,1,self
House,"Moulikergaon, Sylhet ",3,3,2244,0,Whole house,"13,200,000",2,1,0,1,1,self
Duplex,"Shahporan, Sylhet",4,4,2519,1,Ground + 1st Floor,"14,100,000",3,1,0,1,0,self
House,"Kazirbazar, Sylhet ",6,6,4474,0,Whole house,"23,100,000",1,0,1,1,0,self
House,"Shahjalal Uposhahar, Sylhet",2,2,3496,0,Whole house,"24,900,000",3,0,1,1,0,self
Apartment,"Mira Housing Estate, Sylhet",5,5,1132,3,3rd Floor,"6,400,000",4,1,0,0,0,self
Apartment,"Nayasarak, Sylhet",4,3,1082,11,11th Floor,"7,000,000",4,1,1,1,1,self
Apartment,"Tilagor, Sylhet ",6,6,1122,8,8th Floor,"6,800,000",1,0,1,0,0,self
Apartment,"Shibgonj, Sylhet",3,3,1076,11,11th Floor,"7,300,000",2,0,0,0,0,self
Apartment,"Kazirbazar, Sylhet ",6,6,1718,10,10th Floor,"7,900,000",1,0,1,1,0,self
Apartment,"Kazirbazar, Sylhet ",6,4,2267,7,7th Floor,"10,000,000",4,1,0,1,1,self
Duplex,"Chowhatta, Sylhet ",3,2,3705,2,Ground + 2nd Floor,"28,000,000",1,1,0,0,1,self
Apartment,"Subidbazar, Sylhet ",5,3,1267,9,9th Floor,"7,100,000",1,0,0,0,1,self
Apartment,"Zindabazar, Sylhet ",5,3,983,12,12th Floor,"5,100,000",1,1,0,0,1,self
Duplex,"Shahporan, Sylhet ",3,3,2648,1,Ground + 1st Floor,"15,000,000",1,0,0,0,1,self
Duplex,"Kumarpara, Sylhet",4,4,3326,2,Ground + 2nd Floor,"20,000,000",3,1,1,1,0,self
House,"Shibgonj, Sylhet",4,4,2545,0,Whole house,"15,000,000",2,1,1,1,0,self
House,"Chowhatta, Sylhet ",2,2,4406,0,Whole house,"26,000,000",1,0,1,1,1,self
House,"Zindabazar, Sylhet ",5,4,3275,0,Whole house,"22,000,000",2,1,1,1,0,self
Duplex,"Bagbari, Sylhet",4,3,2207,1,Ground + 1st Floor,"14,000,000",3,1,1,1,0,Bikroy.com
Apartment,"Mira Housing Estate, Sylhet",5,5,945,2,2nd Floor,"3,800,000",1,0,0,0,0,self
House,"Moulikergaon, Sylhet",6,5,2636,0,Whole house,"15,000,000",2,1,0,0,0,self
Duplex,"Kumarpara, Sylhet",3,2,2460,1,Ground + 1st Floor,"20,000,000",1,0,0,0,1,Bikroy.com
Duplex,"Ambarkhana, Sylhet ",6,5,3217,1,Ground + 1st Floor,"20,000,000",4,1,1,0,0,self
Apartment,"Tilagor, Sylhet ",2,2,2154,10,10th Floor,"14,000,000",1,1,0,1,0,Bikroy.com
Duplex,"Taltola, Sylhet ",4,4,2398,2,Ground + 2nd Floor,"20,000,000",3,1,1,1,0,self
Duplex,"Ambarkhana, Sylhet",5,5,2631,2,Ground + 2nd Floor,"19,000,000",2,1,1,0,1,self
Duplex,"Tilagor, Sylhet ",6,4,4343,2,Ground + 2nd Floor,"29,000,000",4,0,0,1,0,self
Duplex,"Moulikergaon, Sylhet",3,3,2986,2,Ground + 2nd Floor,"20,000,000",3,1,1,1,0,Bikroy.com
Apartment,"Tilagor, Sylhet ",5,3,2068,6,6th Floor,"14,000,000",2,0,0,0,0,self
Apartment,"Shahjalal Uposhahar, Sylhet",2,2,1606,4,4th Floor,"12,000,000",2,0,0,0,0,self
Duplex,"Kazirbazar, Sylhet ",2,2,3016,1,Ground + 1st Floor,"25,000,000",3,0,0,0,0,self
Apartment,"Mendibagh, Sylhet ",2,2,2438,12,12th Floor,"16,000,000",1,0,0,0,0,self
House,"Nayasarak, Sylhet",4,3,2869,0,Whole house,"13,000,000",4,1,0,1,1,self
Duplex,"Dargah Gate, Sylhet",6,5,2326,2,Ground + 2nd Floor,"13,000,000",3,0,1,1,0,self
Duplex,"Shahjalal Uposhahar, Sylhet",6,6,3376,1,Ground + 1st Floor,"28,000,000",1,0,1,0,0,self
House,"Shahporan, Sylhet",5,5,4647,0,Whole house,"24,000,000",4,0,0,0,0,self
Apartment,"Zindabazar, Sylhet",3,2,1125,12,12th Floor,"9,200,000",2,1,1,0,1,self
House,"Nayasarak, Sylhet",5,3,3529,0,Whole house,"16,000,000",1,0,1,1,0,self
House,"Moulikergaon, Sylhet",3,2,3977,0,Whole house,"27,000,000",2,1,1,1,0,self
House,"Chowhatta, Sylhet",6,4,2494,0,Whole house,"15,000,000",3,0,1,1,0,self
House,"Moulikergaon, Sylhet",3,2,2895,0,Whole house,"16,000,000",2,0,0,1,1,self
Apartment,"Subidbazar, Sylhet",3,2,1429,3,3rd Floor,"6,600,000",2,1,0,0,1,self
Duplex,"Subidbazar, Sylhet",4,3,3003,1,Ground + 1st Floor,"24,000,000",2,0,1,0,1,self
Apartment,"Chowhatta, Sylhet",5,4,1924,12,12th Floor,"10,000,000",2,0,0,0,0,self
Duplex,"Shibgonj, Sylhet",3,2,3136,1,Ground + 1st Floor,"25,000,000",2,0,1,1,0,self
House,"Kumarpara, Sylhet",2,2,3438,0,Whole house,"17,000,000",2,0,1,0,1,self
Duplex,"Subidbazar, Sylhet",3,2,2243,2,Ground + 2nd Floor,"16,000,000",2,1,1,0,1,self
Duplex,"Shahporan, Sylhet",4,4,4416,1,Ground + 1st Floor,"37,000,000",2,0,1,1,1,self
Duplex,"Moulikergaon, Sylhet",5,5,3807,1,Ground + 1st Floor,"32,000,000",2,0,1,1,1,self
House,"Nayasarak, Sylhet",2,2,3514,0,Whole house,"21,000,000",2,1,0,0,1,self
Duplex,"Shibgonj, Sylhet",5,3,3805,2,Ground + 2nd Floor,"24,000,000",2,0,1,1,0,self
Apartment,"Taltola, Sylhet",4,2,1858,6,6th Floor,"13,000,000",4,0,1,1,0,self
House,"Shahporan, Sylhet",5,3,3545,0,Whole house,"18,000,000",3,1,1,0,1,self
House,"Nayasarak, Sylhet",5,4,4353,0,Whole house,"21,000,000",4,1,1,0,0,self
Duplex,"Zindabazar, Sylhet",4,4,2261,1,Ground + 1st Floor,"16,500,000",3,1,1,0,0,self
Apartment,"Taltola, Sylhet",3,3,1212,5,5th Floor,"6,800,000",3,0,1,0,1,self
Duplex,"Subidbazar, Sylhet",3,2,3996,1,Ground + 1st Floor,"31,000,000",1,1,0,0,1,self
House,"Shahporan, Sylhet",6,6,3713,0,Whole house,"18,000,000",4,1,0,0,0,self
House,"Chowhatta, Sylhet",5,3,4525,0,Whole house,"25,000,000",4,1,1,0,0,self
Duplex,"Pathantula, Sylhet",4,2,2284,1,Ground + 1st Floor,"18,000,000",1,1,1,0,0,self
Apartment,"Nayasarak, Sylhet",5,3,1593,3,3rd Floor,"10,000,000",2,1,0,1,1,self
House,"Nayasarak, Sylhet",5,4,2984,0,Whole house,"17,000,000",1,1,1,1,0,self
Apartment,"Mendibagh, Sylhet",5,5,1293,7,7th Floor,"8,700,000",3,0,0,1,0,self
Duplex,"Ambarkhana, Sylhet",6,6,3430,1,Ground + 1st Floor,"21,000,000",4,1,0,1,0,self
Duplex,"Chowhatta, Sylhet",6,4,3070,1,Ground + 1st Floor,"27,000,000",1,0,0,0,0,self
House,"Mendibagh, Sylhet",2,2,3310,0,Whole house,"16,000,000",1,1,0,1,0,self
Apartment,"Ambarkhana, Sylhet",4,4,2059,12,12th Floor,"15,000,000",4,0,0,1,1,self
House,"Bagbari, Sylhet",2,2,4232,0,Whole house,"29,000,000",4,1,0,0,1,Bikroy.com
Apartment,"Subidbazar, Sylhet",3,2,1774,2,2nd Floor,"7,100,000",1,0,0,0,1,self
Apartment,"Nayasarak, Sylhet",4,2,1823,4,4th Floor,"7,600,000",2,0,0,1,1,self
House,"Shahjalal Uposhahar, Sylhet",4,4,1846,0,Whole house,"10,000,000",1,0,1,1,1,Bikroy.com
Duplex,"Mira Housing Estate, Sylhet",6,6,2444,2,Ground + 2nd Floor,"17,000,000",4,1,1,0,0,self
Apartment,"Kazirbazar, Sylhet",4,2,2189,8,8th Floor,"10,000,000",2,1,1,1,1,self
Apartment,"Bagbari, Sylhet",6,4,2140,2,2nd Floor,"15,000,000",3,1,1,0,1,Bikroy.com
House,"Shahjalal Uposhahar, Sylhet",5,3,3648,0,Whole house,"23,000,000",2,1,1,1,0,self
Duplex,"Shahporan, Sylhet",2,2,2802,2,Ground + 2nd Floor,"21,000,000",2,0,1,1,0,self
Duplex,"Tilagor, Sylhet",3,2,3819,2,Ground + 2nd Floor,"32,000,000",1,0,1,1,0,Bikroy.com
Duplex,"Pathantula, Sylhet",4,4,3830,2,Ground + 2nd Floor,"29,000,000",2,0,0,0,0,self
Apartment,"Nayasarak, Sylhet",3,2,1643,11,11th Floor,"10,000,000",3,0,0,0,1,self
House,"Pathantula, Sylhet",2,2,2134,0,Whole house,"10,000,000",4,0,1,1,0,self
Apartment,"Kumarpara, Sylhet",2,2,2101,11,11th Floor,"10,000,000",4,1,0,1,0,self
House,"Zindabazar, Sylhet",2,2,2540,0,Whole house,"17,000,000",2,0,0,1,1,self
House,"Kumarpara, Sylhet",2,2,2291,0,Whole house,"11,000,000",4,0,0,1,0,self
House,"Shibgonj, Sylhet",3,2,4752,0,Whole house,"25,000,000",2,1,1,0,0,self
Apartment,"Pathantula, Sylhet",4,2,1014,3,3rd Floor,"4,600,000",4,1,1,0,0,self
House,"Nayasarak, Sylhet",4,3,3397,0,Whole house,"17,000,000",3,1,0,1,0,self
Apartment,"Mirabazar, Sylhet",2,2,973,4,4th Floor,"7,200,000",2,1,0,1,0,self
House,"Pathantula, Sylhet",2,2,3652,0,Whole house,"21,000,000",1,1,0,1,0,self
House,"Taltola, Sylhet",3,2,2538,0,Whole house,"16,000,000",1,1,0,1,1,self
House,"Mendibagh, Sylhet",3,3,2910,0,Whole house,"19,000,000",1,0,1,1,0,self
House,"Ambarkhana, Sylhet",5,4,2428,0,Whole house,"18,000,000",1,0,1,1,0,self
House,"Mirabazar, Sylhet",3,2,2871,0,Whole house,"15,000,000",4,1,1,1,0,self
Apartment,"Akhalia, Sylhet",4,4,1805,10,10th Floor,"9,700,000",1,1,0,1,0,self
House,"Mira Housing Estate, Sylhet",5,5,2694,0,Whole house,"15,000,000",4,0,0,0,0,self
Apartment,"Kumarpara, Sylhet",6,6,2146,9,9th Floor,"15,000,000",1,0,0,0,1,self
Apartment,"Nayasarak, Sylhet",2,2,2377,2,2nd Floor,"14,000,000",4,1,1,0,0,self
House,"Mira Housing Estate, Sylhet",5,5,2817,0,Whole house,"14,000,000",3,0,0,1,0,self
House,"Mirabazar, Sylhet",6,5,2294,0,Whole house,"13,000,000",1,0,0,1,0,self
Duplex,"Mirabazar, Sylhet",5,4,4372,1,Ground + 1st Floor,"24,000,000",1,1,0,1,0,self
House,"Tilagor, Sylhet",4,2,1879,0,Whole house,"9,100,000",1,0,1,0,1,self
Apartment,"Chowhatta, Sylhet",4,4,992,6,6th Floor,"4,400,000",2,1,1,1,0,self
House,"Mira Housing Estate, Sylhet",3,2,2729,0,Whole house,"13,000,000",2,1,0,0,1,self
Duplex,"Pathantula, Sylhet",5,3,3820,1,Ground + 1st Floor,"26,000,000",1,1,0,0,1,self
House,"Nayasarak, Sylhet",6,6,3919,0,Whole house,"19,000,000",3,1,0,1,0,self
Duplex,"Shahjalal Uposhahar, Sylhet",3,3,3973,1,Ground + 1st Floor,"34,000,000",3,0,1,1,1,self
Duplex,"Taltola, Sylhet",2,2,3288,2,Ground + 2nd Floor,"26,000,000",1,0,1,0,0,self
House,"Nayasarak, Sylhet",3,3,2263,0,Whole house,"13,000,000",3,0,0,0,1,self
Apartment,"Bagbari, Sylhet",5,3,1801,3,3rd Floor,"10,000,000",2,1,1,0,1,self
Duplex,"Kazirbazar, Sylhet",2,2,4060,1,Ground + 1st Floor,"33,000,000",3,1,1,0,1,self
House,"Tilagor, Sylhet",4,4,3166,0,Whole house,"17,000,000",2,0,0,0,0,self
Apartment,"Tilagor, Sylhet",3,2,1906,6,6th Floor,"9,800,000",3,0,0,0,1,Fb market place
Duplex,"Nayasarak, Sylhet",4,3,4317,2,Ground + 2nd Floor,"31,000,000",1,1,1,0,1,Fb market place
House,"Akhalia, Sylhet",4,4,4324,0,Whole house,"24,000,000",1,1,0,1,1,Fb market place
Apartment,"Bagbari, Sylhet",2,2,1919,8,8th Floor,"12,000,000",1,1,0,1,1,Fb market place
Duplex,"Akhalia, Sylhet",5,4,3399,2,Ground + 2nd Floor,"24,000,000",3,1,1,0,1,Fb market place
House,"Bagbari, Sylhet",5,4,3999,0,Whole house,"22,000,000",2,1,1,0,1,Fb market place
House,"Shahjalal Uposhahar, Sylhet",6,6,2636,0,Whole house,"18,000,000",3,0,1,1,1,Fb market place
Duplex,"Chowhatta, Sylhet",4,2,4319,2,Ground + 2nd Floor,"30,000,000",4,0,1,0,1,Fb market place
Duplex,"Akhalia, Sylhet",2,2,2605,2,Ground + 2nd Floor,"18,000,000",2,0,0,1,1,Fb market place
House,"Zindabazar, Sylhet",5,3,4632,0,Whole house,"35,000,000",3,1,1,1,0,self
House,"Pathantula, Sylhet",6,6,4486,0,Whole house,"25,000,000",1,1,0,1,0,self
Duplex,"Mira Housing Estate, Sylhet",3,2,2446,1,Ground + 1st Floor,"16,000,000",2,0,1,0,0,self
House,"Mira Housing Estate, Sylhet",6,6,3428,0,Whole house,"16,000,000",3,0,0,0,1,self
Duplex,"Subidbazar, Sylhet",6,5,3013,2,Ground + 2nd Floor,"23,000,000",2,0,0,0,0,self
Apartment,"Ambarkhana, Sylhet",3,2,1857,11,11th Floor,"12,000,000",4,0,1,0,0,self
House,"Mira Housing Estate, Sylhet",4,4,2892,0,Whole house,"14,000,000",1,1,1,1,1,self
Apartment,"Ambarkhana, Sylhet",2,2,2093,2,2nd Floor,"13,000,000",4,0,0,0,0,self
Apartment,"Dargah Gate, Sylhet",6,6,912,9,9th Floor,"4,700,000",3,1,1,0,0,self
Duplex,"Shahporan, Sylhet",5,3,3893,2,Ground + 2nd Floor,"27,000,000",2,0,0,0,0,Bdhousing.com
House,"Taltola, Sylhet",5,5,2990,0,Whole house,"18,300,000",1,0,1,1,1,Bdhousing.com
House,"Mirabazar, Sylhet",2,2,3238,0,Whole house,"21,900,000",1,1,0,1,1,Bdhousing.com
Apartment,"Bagbari, Sylhet",5,5,2260,2,2nd Floor,"12,000,000",4,0,1,0,0,self
Duplex,"Nayasarak, Sylhet",3,2,4113,1,Ground + 1st Floor,"25,000,000",2,1,0,0,0,self
House,"Bagbari, Sylhet",5,3,2730,0,Whole house,"17,000,000",1,1,1,0,0,self
House,"Akhalia, Sylhet",6,4,2314,0,Whole house,"11,000,000",4,0,0,1,0,self
House,"Mirabazar, Sylhet",2,2,4645,0,Whole house,"24,000,000",2,0,0,1,1,self
House,"Bagbari, Sylhet",4,3,2624,0,Whole house,"15,100,000",1,0,1,1,0,self
Apartment,"Mendibagh, Sylhet",5,3,1172,12,12th Floor,"6,300,000",4,0,0,1,0,self
Duplex,"Subidbazar, Sylhet",5,5,4088,2,Ground + 2nd Floor,"25,000,000",2,0,0,1,1,self
Apartment,"Mendibagh, Sylhet",2,2,1522,5,5th Floor,"6,700,000",3,0,1,1,0,self
House,"Zindabazar, Sylhet",6,5,2488,0,Whole house,"19,000,000",3,1,0,1,0,self
Duplex,"Shahporan, Sylhet",4,2,2645,2,Ground + 2nd Floor,"19,000,000",3,1,0,0,1,self
Duplex,"Shahjalal Uposhahar, Sylhet",4,2,3207,1,Ground + 1st Floor,"22,000,000",3,1,0,0,1,self
Apartment,"Moulikergaon, Sylhet",6,4,1109,6,6th Floor,"7,800,000",2,0,0,0,0,self
Apartment,"Ambarkhana, Sylhet",4,4,1419,5,5th Floor,"6,900,000",3,0,0,1,0,Bikroy.com
House,"Mira Housing Estate, Sylhet",5,3,3027,0,Whole house,"21,000,000",2,1,1,0,1,Bikroy.com
Apartment,"Chowhatta, Sylhet",5,3,1083,2,2nd Floor,"8,100,000",4,1,0,1,0,Bikroy.com
Apartment,"Ambarkhana, Sylhet",6,4,1193,6,6th Floor,"5,800,000",4,0,0,1,1,self
Apartment,"Chowhatta, Sylhet",3,2,1675,6,6th Floor,"6,700,000",2,0,0,0,1,Bikroy.com
Duplex,"Moulikergaon, Sylhet",4,2,3954,1,Ground + 1st Floor,"28,000,000",4,0,0,1,1,self
Duplex,"Pathantula, Sylhet",6,5,4169,1,Ground + 1st Floor,"28,000,000",3,0,0,0,1,self
Duplex,"Akhalia, Sylhet",2,2,4472,2,Ground + 2nd Floor,"31,000,000",3,1,1,1,0,self
Apartment,"Subidbazar, Sylhet",3,3,1353,6,6th Floor,"9,000,000",1,1,1,0,1,self
Apartment,"Mira Housing Estate, Sylhet",6,4,2406,10,10th Floor,"15,000,000",1,1,1,0,1,self
Duplex,"Kazirbazar, Sylhet",6,4,4310,1,Ground + 1st Floor,"31,000,000",1,0,0,1,0,self
